character	killed by	death	type
Ralva the Great Red Bear	The Tarnished	Slain by the Tarnished	
Recusant Henricus	The Tarnished	Slain by the Tarnished	
Red Bear		Died from unknown causes (returned as a spirit)	physical
Red Wolf of Radagon	The Tarnished | Sorceress Sellen	Slain by the Tarnished, assisted by Sorceress Sellen	
Red Wolf of the Champion	The Tarnished	Slain by the Tarnished	
Redmane Freyja	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier	Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier	
Redmane Knight Ogha		Died from unknown causes (returned as a spirit)	physical
Regal Ancestor Spirit		Died from unknown causes (returned as a spirit)	physical
Rellana, Twin Moon Knight	The Tarnished | Needle Knight Leda	Slain by the Tarnished, assisted by Needle Knight Leda	
Rileigh the Idle	The Tarnished | Tanith, Volcano Manor Proprietress	Slain by the Tarnished on orders from Tanith, Volcano Manor Proprietress	
Romina, Saint of the Bud	The Tarnished | Dryleaf Dane	Slain by the Tarnished, assisted by Dryleaf Dane	
Roundtable Knight Vyke	The Tarnished	Slain by the Tarnished	
Royal Revenant	The Tarnished	Slain by the Tarnished	
Rugalea the Great Red Bear	The Tarnished | Redmane Freyja	Slain by the Tarnished, assisted by Redmane Freyja	
Runebear	The Tarnished	Slain by the Tarnished	
Rya the Scout	The Tarnished | Rya the Scout	Slain by the Tarnished on her own orders (dependent on player choice)	determinant
Rykard, Lord of Blasphemy	The Tarnished	Slain by the Tarnished	
Sage Gowry		Died after Millicent's death (dependent on player choice)	determinant
Sanguine Noble	The Tarnished	Slain by the Tarnished	
Sanguine Noble (Invader)	The Tarnished	Slain by the Tarnished	
Scadutree Avatar	The Tarnished	Slain by the Tarnished	
Scaly Misbegotten	The Tarnished	Slain by the Tarnished	
Serosh, the Beast Regent	Godfrey, First Elden Lord	Murdered by Godfrey, First Elden Lord during his fight with the Tarnished	
Sir Ansbach		Died after the defeat of Promised Consort Radahn (dependent on player choice)	determinant | unavoidable
Sir Ansbach	The Tarnished | Needle Knight Leda	Slain by the Tarnished, assisted by Needle Knight Leda (dependent on player choice)	determinant | unavoidable
Sir Gideon Ofnir, the All-Knowing	The Tarnished	Slain by the Tarnished	
Sir Moore		Fell into despair and let himself die (dependent on player choice)	determinant | unavoidable
Sir Moore	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier	Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier (dependent on player choice)	determinant | unavoidable
Sir Thiollier		Died after the defeat of Promised Consort Radahn	
Sir Thiollier	The Tarnished	Slain by the Tarnished (revived)	revived
Soldier of Godrick	The Tarnished	Slain by the Tarnished	
Somber Scarabs	The Tarnished	Slain by the Tarnished	
Sorcerer Rogier		Succombed to a Deathroot infection (returned as a spirit)	physical
Sorcerer Thops		Passed away after creating Thops's Barrier	
Sorceress Sellen	The Tarnished | Witch-Hunter Jerren	Slain by the Tarnished, assisted by Witch-Hunter Jerren (dependent on player choice)	determinant
Spellmachinist Rabbath		Died from unknown causes	
Spiritcaller Snail (Road's End Catacombs)	The Tarnished	Slain by the Tarnished	
Spiritcaller Snail (Spiritcaller Cave)	The Tarnished	Slain by the Tarnished	
Starscourge Radahn	The Tarnished | Alexander, Warrior Jar | Blaidd the Half-Wolf | Finger Maiden Therolina | Great Horned Tragoth | Lionel the Lionhearted | Bloody Finger Okina | Patches the Untethered | Witch-Hunter Jerren	Slain by the Tarnished, assisted by Alexander, Blaidd, Therolina, Tragoth, Lionel, Okina, Patches or Jerren (revived by Miquella the Kind)	revived
Stonedigger Troll (Limgrave Tunnels)	The Tarnished	Slain by the Tarnished	
Stonedigger Troll (Old Altus Tunnel)	The Tarnished	Slain by the Tarnished	
Stormhawk Deenh		Died from unknown causes (returned as a spirit)	physical
Stray Mimic Tear	The Tarnished	Slain by the Tarnished	
Swordhand of Night Anna	The Tarnished	Slain by the Tarnished (potentially turned into a spirit)	physical
Swordstress	Swordstress	Willingly let herself turn into a puppet	physical
Tanith's Knight	The Tarnished	Slain by the Tarnished	
Tanith, Volcano Manor Proprietress	The Tarnished	Slain by the Tarnished	
Taylew the Golem Smith		Died from unknown causes (returned as a spirit)	physical
The Revenger	Godfrey, First Elden Lord	Slain by Godfrey, First Elden Lord	
The Stormhawk King		Died from unknown causes (returned as a spirit)	physical
The Tarnished	Ranni the Witch	Murdered by Ranni the Witch (revived, dependent on player choice)	revived | determinant
Tibia Mariner (Charo's Hidden Grave)	The Tarnished	Slain by the Tarnished	
Tibia Mariner (Liurnia)	The Tarnished	Slain by the Tarnished	
Tibia Mariner (Mountaintops)	The Tarnished	Slain by the Tarnished	
Tibia Mariner (Summonwater Village)	The Tarnished | D, Hunter of the Dead	Slain by the Tarnished, assisted by D, Hunter of the Dead	
Tibia Mariner (Wyndham Ruins)	The Tarnished	Slain by the Tarnished	
Torrent		Died from unknown causes (returned as a spirit)	physical
Tree Sentinel	The Tarnished	Slain by the Tarnished	
Tree Sentinel (Halberd) (Altus Plateau)	The Tarnished	Slain by the Tarnished	
Tree Sentinel (Halberd) (Scaduview)	The Tarnished | Jolán, Swordhand of Night	Slain by the Tarnished, assisted by Jolán, Swordhand of Night	
Tree Sentinel (Torch) (Altus Plateau)	The Tarnished	Slain by the Tarnished	
Tree Sentinel (Torch) (Scaduview)	The Tarnished | Jolán, Swordhand of Night	Slain by the Tarnished, assisted by Jolán, Swordhand of Night	
Ulcerated Tree Spirit (Belurat, Tower Settlement)	The Tarnished	Slain by the Tarnished	
Ulcerated Tree Spirit (Capital Outskirts)	The Tarnished	Slain by the Tarnished	
Ulcerated Tree Spirit (Ellac River)	The Tarnished	Slain by the Tarnished	
Ulcerated Tree Spirit (Fringefolk Hero's Grave)	The Tarnished	Slain by the Tarnished	
Ulcerated Tree Spirit (Giant's Mountaintop Catacombs)	The Tarnished	Slain by the Tarnished	
Ulcerated Tree Spirit (Leyndell, Royal Capital)	The Tarnished	Slain by the Tarnished	
Ulcerated Tree Spirit (Mt. Gelmir)	The Tarnished	Slain by the Tarnished	
Ulcerated Tree Spirit (Stormveil Castle)	The Tarnished	Slain by the Tarnished	
Ulcerated Tree Spirits (Leyndell, Ashen Capital)	The Tarnished	Slain by the Tarnished	
Ulcerated Tree Spirits (Shadow Keep)	The Tarnished	Slain by the Tarnished	
Valiant Gargoyle (Greatsword)	The Tarnished | D, Beholder of Death	Slain by the Tarnished, assisted by D, Beholder of Death	
Valiant Gargoyle (Twinblade)	The Tarnished | D, Beholder of Death	Slain by the Tarnished, assisted by D, Beholder of Death	
Vargram the Raging Wolf	The Tarnished | Knight Bernahl | Tanith, Volcano Manor Proprietress	Slain by the Tarnished, assisted by Knight Bernahl, on orders from Tanith, Volcano Manor Proprietress	
Volcano Manor Apparition		Died from unknown causes (returned as a spirit)	physical
Vyke's Finger Maiden		Died from unknown causes	
War Counselor Iji		Murdered by several Black Knife Assassins	
White Mask Varré	The Tarnished	Slain by the Tarnished	
Witch-Hunter Jerren	The Tarnished | Sorceress Sellen	Slain by the Tarnished, assisted by Sorceress Sellen (dependent on player choice)	determinant
Wormface	The Tarnished	Slain by the Tarnished	
Ymir, Mother of Fingers	The Tarnished	Slain by the Tarnished	
Yuri		Died young from unknown causes	
